Package name,           Distributions,           Short description
arch-install-scripts,   arch,
base,                   arch artix,
base-devel,             arch artix,
linux,                  arch artix,
linux-firmware,         arch artix,
efibootmgr,             arch artix,
runit,                  artix,
elogind-runit,          artix,
openssh,                artix,
openssh-runit,          artix,
networkmanager,         arch artix,
networkmanager-runit,   arch artix,
stow,                   arch,
